id,nom,population,superficie,url
FR-ARA,Auvergne-Rhône-Alpes ,7948287,69711,
FR-BFC,Bourgogne-Franche-Comté ,2811423,47784,
FR-BRE,Bretagne ,3318904,27209,https://fr.wikipedia.org/wiki/Bretagne
FR-CVL,Centre-Val de Loire ,2576252,39151,
FR-COR,Corse ,334938,8722,
FR-GES,Grand Est ,5549586,57441,
FR-HDF,Hauts-de-France ,6003815,31806,
FR-IDF,Île-de-France ,12174880,12011,
FR-NOR,Normandie ,3330478,29906,
FR-NAQ,Nouvelle-Aquitaine ,5956978,84036,
FR-OCC,Occitanie ,5845102,72724,
FR-PDL,Pays de la Loire ,3757600,32082,
FR-PAC,Provence-Alpes<br>Côte d'Azur,5030890,31400,
FR-GUA,Guadeloupe ,390253,1628,
FR-GUF,Guyane (française) ,268700,83846,
FR-MTQ,Martinique ,372594,1128,
FR-LRE,La Réunion ,853659,2512,
FR-MAY,Mayotte,256518,376,
